study_id,site_id,title,species_guess,lat,lon,online
40543,Barro Colorado Nature Monument,Alfaro-Sánchez - Barro Colorado Nature Monument - JACO - ITRDB PAN001,,,,https://www.ncei.noaa.gov/access/paleo-search/study/40543
40545,Barro Colorado Nature Monument,Alfaro-Sánchez - Barro Colorado Nature Monument - TEPA - ITRDB PAN003,,,,https://www.ncei.noaa.gov/access/paleo-search/study/40545
40544,Barro Colorado Nature Monument,Alfaro-Sánchez - Barro Colorado Nature Monument - TRTU - ITRDB PAN002,,,,https://www.ncei.noaa.gov/access/paleo-search/study/40544
10475,Alcubierre,Alla - Alcubierre - QUFG - ITRDB SPAI067,,,,https://www.ncei.noaa.gov/access/paleo-search/study/10475
10473,Arguis,Alla - Arguis - QUFG - ITRDB SPAI065,,,,https://www.ncei.noaa.gov/access/paleo-search/study/10473
10474,Nueno,Alla - Nueno - QUFG - ITRDB SPAI066,,,,https://www.ncei.noaa.gov/access/paleo-search/study/10474
10472,Pico del Águila,Alla - Pico del Águila - QUFG - ITRDB SPAI064,Pico del,,,https://www.ncei.noaa.gov/access/paleo-search/study/10472
13736,Ben Ridge Road,Allen - Ben Ridge Road - PHAS - ITRDB AUSL027,,,,https://www.ncei.noaa.gov/access/paleo-search/study/13736
13735,Blue Tier,Allen - Blue Tier - PHAS - ITRDB AUSL026,,,,https://www.ncei.noaa.gov/access/paleo-search/study/13735
18197,Butters,Allen - Butters - LGFR - ITRDB AUSL036,,,,https://www.ncei.noaa.gov/access/paleo-search/study/18197
13745,Clayton's Lagoon,Allen - Clayton's Lagoon - PHAS - ITRDB AUSL033,,,,https://www.ncei.noaa.gov/access/paleo-search/study/13745
22545,Cradle Mountain,"Allen - Cradle Mountain 1,700 Year Update - ATSE - ITRDB AUSL050",,,,https://www.ncei.noaa.gov/access/paleo-search/study/22545
20694,Cradle Mountain,Allen - Cradle Mountain Update - ATSE - ITRDB AUSL041,,,,https://www.ncei.noaa.gov/access/paleo-search/study/20694
31414,El Sharana,Allen - El Sharana - CAIN - ITRDB AUSL056,,,,https://www.ncei.noaa.gov/access/paleo-search/study/31414
20691,February Creek,Allen - February Creek - ATSE - ITRDB AUSL039,,,,https://www.ncei.noaa.gov/access/paleo-search/study/20691
31415,Hayesfarm,Allen - Hayesfarm - CAIN - ITRDB AUSL057,,,,https://www.ncei.noaa.gov/access/paleo-search/study/31415
20695,Lake Mackenzie,Allen - Lake Mackenzie - ATCU - ITRDB AUSL042,,,,https://www.ncei.noaa.gov/access/paleo-search/study/20695
22113,Lake Riveaux/Abrotonella Rise,Allen - Lake Riveaux/Abrotonella Rise - ATSE - ITRDB AUSL048,,,,https://www.ncei.noaa.gov/access/paleo-search/study/22113
16808,Left Hand Fork,Allen - Left Hand Fork - JUSC - ITRDB UT531,,,,https://www.ncei.noaa.gov/access/paleo-search/study/16808
31416,Litchfield National Park,Allen - Litchfield National Park - CAIN - ITRDB AUSL058,,,,https://www.ncei.noaa.gov/access/paleo-search/study/31416
13744,Lower Cole Road,Allen - Lower Cole Road - PHAS - ITRDB AUSL032,,,,https://www.ncei.noaa.gov/access/paleo-search/study/13744
